symbol,market,exchange,currency,name_kr,name_en,base_slug,ko_slug,en_slug
376900.KQ,KOSDAQ,KRX,KRW,로킷헬스케어,376900,376900,로킷헬스케어-주가-전망,376900-stock-forecast
383310.KQ,KOSDAQ,KRX,KRW,에코프로에이치엔,383310,383310,에코프로에이치엔-주가-전망,383310-stock-forecast
388210.KQ,KOSDAQ,KRX,KRW,씨엠티엑스,388210,388210,씨엠티엑스-주가-전망,388210-stock-forecast
388720.KQ,KOSDAQ,KRX,KRW,유일로보틱스,388720,388720,유일로보틱스-주가-전망,388720-stock-forecast
389470.KQ,KOSDAQ,KRX,KRW,인벤티지랩,389470,389470,인벤티지랩-주가-전망,389470-stock-forecast
389650.KQ,KOSDAQ,KRX,KRW,넥스트바이오메디컬,389650,389650,넥스트바이오메디컬-주가-전망,389650-stock-forecast
397030.KQ,KOSDAQ,KRX,KRW,에이프릴바이오,397030,397030,에이프릴바이오-주가-전망,397030-stock-forecast
399720.KQ,KOSDAQ,KRX,KRW,가온칩스,399720,399720,가온칩스-주가-전망,399720-stock-forecast
420770.KQ,KOSDAQ,KRX,KRW,기가비스,420770,420770,기가비스-주가-전망,420770-stock-forecast
424870.KQ,KOSDAQ,KRX,KRW,이뮨온시아,424870,424870,이뮨온시아-주가-전망,424870-stock-forecast
425420.KQ,KOSDAQ,KRX,KRW,티에프이,425420,425420,티에프이-주가-전망,425420-stock-forecast
437730.KQ,KOSDAQ,KRX,KRW,삼현,437730,437730,삼현-주가-전망,437730-stock-forecast
440110.KQ,KOSDAQ,KRX,KRW,파두,440110,440110,파두-주가-전망,440110-stock-forecast
445680.KQ,KOSDAQ,KRX,KRW,큐리옥스바이오시스템즈,445680,445680,큐리옥스바이오시스템즈-주가-전망,445680-stock-forecast
448900.KQ,KOSDAQ,KRX,KRW,한국피아이엠,448900,448900,한국피아이엠-주가-전망,448900-stock-forecast
456160.KQ,KOSDAQ,KRX,KRW,지투지바이오,456160,456160,지투지바이오-주가-전망,456160-stock-forecast
458870.KQ,KOSDAQ,KRX,KRW,씨어스테크놀로지,458870,458870,씨어스테크놀로지-주가-전망,458870-stock-forecast
460930.KQ,KOSDAQ,KRX,KRW,현대힘스,460930,460930,현대힘스-주가-전망,460930-stock-forecast
466100.KQ,KOSDAQ,KRX,KRW,클로봇,466100,466100,클로봇-주가-전망,466100-stock-forecast
468530.KQ,KOSDAQ,KRX,KRW,프로티나,468530,468530,프로티나-주가-전망,468530-stock-forecast
475830.KQ,KOSDAQ,KRX,KRW,오름테라퓨틱,475830,475830,오름테라퓨틱-주가-전망,475830-stock-forecast
475960.KQ,KOSDAQ,KRX,KRW,토모큐브,475960,475960,토모큐브-주가-전망,475960-stock-forecast
476060.KQ,KOSDAQ,KRX,KRW,온코닉테라퓨틱스,476060,476060,온코닉테라퓨틱스-주가-전망,476060-stock-forecast
476830.KQ,KOSDAQ,KRX,KRW,알지노믹스,476830,476830,알지노믹스-주가-전망,476830-stock-forecast
486990.KQ,KOSDAQ,KRX,KRW,노타,486990,486990,노타-주가-전망,486990-stock-forecast
488900.KQ,KOSDAQ,KRX,KRW,비츠로넥스텍,488900,488900,비츠로넥스텍-주가-전망,488900-stock-forecast
490470.KQ,KOSDAQ,KRX,KRW,세미파이브,490470,490470,세미파이브-주가-전망,490470-stock-forecast
491000.KQ,KOSDAQ,KRX,KRW,리브스메드,491000,491000,리브스메드-주가-전망,491000-stock-forecast
950160.KQ,KOSDAQ,KRX,KRW,코오롱티슈진,950160,950160,코오롱티슈진-주가-전망,950160-stock-forecast
187660.KQ,KOSDAQ,KRX,KRW,현대ADM,Adm,adm,현대ADM-주가-전망,adm-stock-forecast
067160.KQ,KOSDAQ,KRX,KRW,SOOP,SOOP,afreecatv,soop-주가-전망,afreecatv-stock-forecast
053800.KQ,KOSDAQ,KRX,KRW,안랩,Ahnlab,ahnlab,안랩-주가-전망,ahnlab-stock-forecast
196170.KQ,KOSDAQ,KRX,KRW,알테오젠,Alteogen,alteogen,알테오젠-주가-전망,alteogen-stock-forecast
025980.KQ,KOSDAQ,KRX,KRW,아난티,Ananti,ananti,아난티-주가-전망,ananti-stock-forecast
